100
400	913	358
282	906	393
176	303	613
331	595	355
282	949	781
452	588	269
701	671	357
751	259	832
980	176	288
758	128	895
858	698	326
201	298	419
789	865	284
792	742	487
703	211	270
115	792	473
269	440	740
784	821	561
438	924	930
307	708	958
752	397	772
932	873	809
197	161	802
380	404	630
527	112	306
996	169	671
180	951	312
516	298	148
225	179	172
734	899	768
980	358	124
785	981	994
868	306	431
109	134	982
650	700	659
384	759	704
866	275	873
352	621	145
969	460	716
286	845	197
778	514	895
695	617	815
770	460	174
267	410	723
315	492	777
599	146	400
259	664	759
458	929	906
964	146	323
283	763	455
578	602	893
796	855	144
113	906	435
486	213	819
737	551	978
926	281	819
894	713	240
276	252	346
170	254	178
356	686	345
362	677	719
974	887	142
744	186	873
291	849	248
792	213	181
706	730	667
272	646	567
162	329	667
436	729	705
441	277	772
303	555	365
290	707	918
570	573	122
877	671	390
298	622	247
390	604	134
405	536	416
205	226	896
347	855	506
273	117	335
265	653	455
765	182	922
839	847	126
616	559	832
519	198	595
342	984	743
530	154	552
384	498	942
668	798	731
968	612	354
661	717	318
735	132	386
300	874	862
498	365	431
310	138	503
256	625	867
548	966	269
369	248	109
994	878	755
282	590	407
